timestamp,open,high,low,close,volume,dividend amount,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,FAMA,MAMA,VWAP,T3,MACD,MACD_Hist,MACD_Signal,WILLR,ADXR,APO,PPO,MOM,BOP,CMO,ROC,ROCR,Aroon Down,Aroon Up,AROONOSC,MFI,TRIX,ULTOSC,DX,MINUS_DI,PLUS_DI,MINUS_DM,PLUS_DM,Real Lower Band,Real Middle Band,Real Upper Band,MIDPOINT,MIDPRICE,SAR,TRANGE,ATR,NATR,Chaikin A/D,ADOSC,OBV,HT_TRENDLINE,LEAD SINE,SINE,TRENDMODE,DCPERIOD,HT_DCPHASE,PHASE,QUADRATURE,Adjusted Close
2023-05-17,378.74,382.09,376.91,381.45,9373806.0,0.0,372.0407,374.8326,376.5998,380.2138,381.2509,374.1843,363.9467,228.9512,336.3158,378.1357,373.3461,5.0531,1.4761,3.5769,-6.2031,15.7429,4.8056,1.3108,7.9968,0.5232,18.3293,2.157,1.0216,10.0,80.0,70.0,61.1258,0.2651,64.6813,13.5399,14.4357,18.9571,15.4236,20.2544,351.8282,372.0407,392.2532,365.5304,365.9874,338.0776,5.18,10.6843,2.801,1234885154.9547,16316353.1902,418898233.0,370.9165,-0.2252,0.5297,1.0,13.8756,148.0153,11.927,5.2393,381.45
2023-05-12,379.41,380.83,375.64,378.15,13949251.0,0.0,371.241,373.9643,375.2363,379.673,381.2681,371.6243,363.6393,228.4116,335.8872,378.1359,371.8257,4.9429,1.7351,3.2079,-15.5502,15.9539,4.6534,1.2716,13.4174,-0.2428,19.9416,3.666,1.0367,20.0,90.0,70.0,51.898,0.2517,66.4915,10.3747,15.1713,18.6836,17.1373,21.1048,351.5253,371.241,390.9567,365.5304,365.9874,336.6685,5.19,11.2959,2.9872,1227827270.7462,15875256.0863,409523915.0,370.2144,0.1325,0.7945,1.0,14.0092,127.3887,7.8706,13.5379,378.15
2023-05-05,381.73,383.64,370.92,378.97,20454804.0,0.0,369.8993,372.7541,373.5071,378.5213,380.5294,368.9171,363.0648,227.8716,335.4476,378.1368,370.3357,4.6623,1.8882,2.7741,-13.2275,16.7048,5.5743,1.5289,12.8392,-0.217,25.2604,3.4805,1.0348,30.0,100.0,70.0,52.7576,0.2305,65.6952,10.3747,15.9019,19.5834,19.0415,23.4498,350.7725,369.8993,389.0261,365.5304,365.9874,335.2158,12.72,11.9744,3.1597,1228284182.6287,16758649.531,423473166.0,369.155,0.4908,0.9631,1.0,14.1183,105.6077,0.1652,18.8305,378.97
2023-04-28,378.48,382.12,370.98,382.05,17538455.0,0.0,368.6154,370.7595,371.1226,375.8136,377.5549,366.4423,362.4314,227.331,334.9801,378.1369,369.0056,4.0,1.698,2.3021,-0.2072,17.5943,6.1592,1.6946,4.3616,0.3205,20.8343,1.1658,1.0117,40.0,100.0,60.0,54.9003,0.2036,66.9889,7.0497,17.7919,20.4906,21.1572,24.3665,351.1895,368.6154,386.0412,364.0854,365.2274,334.2438,11.14,11.8915,3.1126,1222848865.2136,14838535.4801,443927970.0,367.8613,0.8883,0.9528,1.0,14.1924,72.3351,-10.1003,11.3291,382.05
2023-04-21,378.84,381.915,376.82,378.59,14111344.0,0.0,368.1792,369.0438,369.2498,373.5054,375.0411,365.005,362.2594,226.79,334.5407,378.137,367.9651,3.4275,1.5499,1.8776,-9.9017,18.6218,6.7268,1.8579,3.7994,-0.0491,21.5519,1.0131,1.0101,50.0,100.0,50.0,55.1662,0.1801,54.1901,22.8035,14.2122,22.6086,17.0191,27.0739,351.5633,368.1792,384.7951,364.0854,365.1249,333.2519,5.095,11.975,3.1631,1205530821.6768,11074940.1276,426389515.0,366.432,0.6442,-0.0854,1.0,14.2547,-4.8974,-9.5663,-4.9608,378.59
2023-04-14,373.55,381.33,372.96,378.99,15026814.0,0.0,367.7993,366.8669,367.2424,370.143,370.8345,365.074,362.0994,226.2486,334.0933,378.1389,367.2163,2.6102,1.1201,1.4901,-7.092,17.5864,7.225,2.0056,4.9082,0.6499,14.8654,1.3314,1.0133,60.0,0.0,-60.0,46.2718,0.1594,58.7156,21.7655,14.8437,23.1031,18.9101,29.4321,352.0233,367.7993,383.5753,362.4654,364.8324,332.2399,8.37,12.7395,3.3614,1209837620.4835,12883531.9883,440500859.0,364.7808,-0.3445,-0.9074,1.0,14.3194,294.8504,-3.9423,-7.0145,378.99
2023-04-06,375.6,378.4,372.72,375.95,12542532.0,0.0,367.3085,365.3818,366.1075,367.9008,367.9888,366.0566,361.9673,225.7066,333.6947,378.1392,366.7793,2.0677,0.8576,1.2101,-19.9767,16.3608,8.1037,2.2596,12.5752,0.0616,18.3847,3.464,1.0346,70.0,10.0,-60.0,48.87,0.1501,55.022,16.7178,15.8876,22.266,21.0113,29.4467,351.9796,367.3085,382.6373,362.4654,365.5893,331.2071,5.68,13.225,3.5177,1203212896.0318,11091794.8008,425474045.0,363.3442,-0.7188,-0.9999,0.0,14.4335,269.0439,-3.353,-9.9015,375.95
2023-03-31,365.725,376.34,361.682,376.07,17671103.0,0.0,366.0509,363.1111,364.3713,363.9192,362.3158,367.0338,361.5736,225.164,333.2714,378.1428,366.5275,1.1364,0.1407,0.9957,-19.6289,15.2794,8.3736,2.3466,1.0271,0.7058,5.8832,0.2816,1.0028,80.0,20.0,-60.0,50.2455,0.1491,53.3427,13.173,16.6006,21.6377,23.3458,30.4297,351.6118,366.0509,380.4901,362.1857,365.5893,330.1533,14.658,14.0633,3.7395,1201490506.0741,9399712.9602,438016577.0,362.3801,-0.9805,-0.8323,0.0,14.6599,236.3334,3.2404,-14.4145,376.07
2023-03-24,360.47,371.219,357.72,363.56,19840356.0,1.4874,365.9482,362.5302,364.4119,362.937,360.576,368.1915,361.5507,224.6207,332.9436,378.1475,366.3605,0.9367,-0.0238,0.9605,-55.8805,14.929,8.4359,2.3723,1.7329,0.3803,-3.8663,0.485,1.0049,90.0,30.0,-60.0,41.6049,0.1715,46.0293,0.9552,18.5321,18.8896,25.9398,26.4402,351.4867,365.9482,380.4098,362.1857,365.5893,329.078,11.9865,13.9972,3.85,1184470405.6406,4514324.4369,420345474.0,362.4994,-0.9683,-0.5082,0.0,14.9425,210.5443,8.8208,-9.906,363.56
2023-03-17,350.76,364.26,349.76,359.88,28127646.0,0.0,365.7749,363.3144,365.6435,364.5958,362.5848,368.682,361.5673,224.0764,332.6804,378.2592,365.8869,1.3528,0.3863,0.9665,-70.7937,15.8492,8.1289,2.2886,-2.4111,0.629,-19.9503,-0.6855,0.9931,0.0,40.0,40.0,41.8317,0.2044,46.541,14.1483,20.2678,15.2435,28.822,21.6773,350.9477,365.7749,380.6022,362.1857,365.5893,327.9808,14.4409,14.2206,3.9677,1184977657.2598,4806936.2868,400505118.0,362.7305,-0.7267,-0.0281,0.0,15.2002,181.6106,11.2978,-2.7405,358.4137
2023-03-10,372.26,374.44,353.14,354.68,21860755.0,0.0,366.0161,366.4218,368.6772,371.0955,372.0298,367.8919,361.6628,223.5306,332.5122,378.2674,364.8336,2.8489,1.9789,0.8699,-79.8764,16.228,7.4389,2.0895,20.4165,-0.8254,15.7773,5.8278,1.0583,0.0,50.0,50.0,52.7553,0.2326,45.9424,8.0167,19.9239,16.9665,28.2842,24.0858,352.224,366.0161,379.8081,363.3913,364.3095,326.8611,21.2132,14.1961,4.0189,1173842989.1191,4059472.5966,372377472.0,362.4908,-0.3937,0.3716,1.0,15.3825,158.1863,9.8387,1.8452,353.2348
2023-03-03,367.49,371.67,360.53,371.28,17731485.0,0.0,363.9744,365.4615,367.4465,370.2135,371.4337,365.6344,360.3261,222.983,332.126,378.2714,363.1159,2.5367,2.1616,0.3752,-34.095,17.2992,7.0101,1.972,14.9837,0.3402,7.5372,4.2687,1.0427,0.0,60.0,60.0,53.9929,0.2202,55.1226,7.024,17.3289,19.9472,23.2493,26.7621,347.7549,363.9744,380.1939,362.6837,363.6672,325.7186,11.0946,13.4165,3.6284,1192542658.4196,9990531.5531,394238227.0,361.3458,-0.1459,0.5964,1.0,15.4842,143.3907,10.0617,4.8796,369.7672
2023-02-24,370.4,371.335,361.73,364.23,13903380.0,0.0,362.476,365.3435,366.8071,371.0334,373.4627,363.0464,359.7521,222.4345,331.7839,378.2726,361.247,2.5852,2.7504,-0.1652,-50.3619,18.034,7.2186,2.0309,9.8036,-0.6424,13.6418,2.7302,1.0273,10.0,70.0,60.0,42.3588,0.2037,54.7749,9.6441,17.92,21.7454,24.5046,29.7356,344.5958,362.476,380.3563,362.6837,362.8903,324.5528,12.4391,13.6745,3.7697,1176052695.7086,7724370.3124,376506742.0,359.7776,-0.19,0.5599,1.0,15.5496,145.9503,7.5176,14.0498,362.7459
